State,County,Urban,PovertyRate,MedianFamilyIncome,LowAccessFlag,LowAccessPct
Alabama,Autauga,1,10,74750,1,0.014102243
Alabama,Autauga,1,18.2,51875,0,0.029122929
Alabama,Autauga,1,19.1,52905,1,0.01059364
Alabama,Autauga,1,3.3,68079,1,0.005099977
Alabama,Autauga,1,8.5,77819,1,0.010939983
Alabama,Autauga,1,14.1,67218,1,0.051786092
Alabama,Autauga,1,26.4,43646,1,0.062176279
Alabama,Autauga,0,13.6,74284,0,0.103673935
Alabama,Autauga,0,13.8,68713,0,0.020509038
Alabama,Autauga,0,12.8,52994,1,0.014965764
Alabama,Autauga,0,11,56317,1,0.020257094
Alabama,Autauga,0,15.5,44395,1,0.151409216
Alabama,Baldwin,0,15.6,55966,1,0.050298885
Alabama,Baldwin,0,28.1,41397,0,0.051616164
Alabama,Baldwin,0,8.5,59491,0,0.014785794
Alabama,Baldwin,0,16,53594,0,0
Alabama,Baldwin,1,18.8,58125,1,0.027812672
Alabama,Baldwin,1,28,32255,1,0.047213441
Alabama,Baldwin,1,4.8,94167,1,0.002362453
Alabama,Baldwin,0,3.3,88768,0,0.009087542
Alabama,Baldwin,1,2.8,69570,1,0.003842446
Alabama,Baldwin,1,11.6,63359,1,0.004706554
Alabama,Baldwin,1,17.9,68802,1,0.005672992
Alabama,Baldwin,0,19,51612,0,0.030839891
Alabama,Baldwin,0,7.9,53105,0,0.03624576
Alabama,Baldwin,0,11,59286,0,0.030547466
Alabama,Baldwin,1,9.4,51597,1,0.046052315
Alabama,Baldwin,0,26.1,42750,0,0.028753851
Alabama,Baldwin,1,13.3,70341,1,0.007194386
Alabama,Baldwin,0,9.7,69605,0,0.009040731
Alabama,Baldwin,1,13.9,78918,0,0.002023447
Alabama,Baldwin,1,9.8,67917,1,0.003690501
Alabama,Baldwin,0,13.5,90536,0,0.02493821
Alabama,Baldwin,0,16.7,50883,0,0.021122047
Alabama,Baldwin,0,8.2,60078,0,0.005845951
Alabama,Baldwin,1,6.7,82246,1,0.031360404
Alabama,Baldwin,0,22.3,52857,0,0.021389164
Alabama,Baldwin,1,23,39063,1,0.018308866
Alabama,Baldwin,0,1.5,55875,1,0
Alabama,Baldwin,1,17.5,54383,1,0.058501198
Alabama,Baldwin,1,26.5,50139,1,0.0228574
Alabama,Baldwin,0,21.3,48333,0,0.026539286
Alabama,Baldwin,0,12.4,65595,0,0.013991297
Alabama,Barbour,0,20.8,54471,1,0.055067207
Alabama,Barbour,0,28,39598,0,0.087674004
Alabama,Barbour,0,39.7,29549,1,0.079812176
Alabama,Barbour,0,13.1,47656,1,0.112905557
Alabama,Barbour,0,22.3,50734,0,0.02641827
Alabama,Barbour,0,30.4,32125,0,0.002423648
Alabama,Barbour,0,25.8,41250,0,0.006507253
Alabama,Barbour,1,9.1,54153,1,0.015819749
Alabama,Barbour,1,31.6,38571,1,0.007469164
Alabama,Bibb,0,11.1,44632,0,0.023965568
Alabama,Bibb,0,20.1,44637,0,0.025291153
Alabama,Bibb,0,14.5,47462,0,0.041500499
Alabama,Bibb,0,18.4,36719,0,0.021836532
Alabama,Blount,0,20.1,60142,0,0.051087566
Alabama,Blount,1,19.2,50477,1,0.039885662
Alabama,Blount,0,14.4,51047,0,0.024925324
Alabama,Blount,0,23.1,47926,0,0.043063444
Alabama,Blount,0,26.3,44068,0,0.023924106
Alabama,Blount,0,24.5,44231,0,0.051540114
Alabama,Blount,0,12.9,54276,0,0.022916111
Alabama,Blount,0,9.1,64909,0,0.014598114
Alabama,Blount,0,11.6,52148,1,0.023273835
Alabama,Bullock,0,12.7,42973,1,0.200339559
Alabama,Bullock,1,19.5,51000,1,0.069482392
Alabama,Bullock,0,25.8,41848,1,0.143857547
Alabama,Butler,0,29,34730,0,0.018481159
Alabama,Butler,1,11.2,64464,0,0
Alabama,Butler,0,20.8,37938,0,0.039769962
Alabama,Butler,0,21.6,48688,1,0.06803049
Alabama,Butler,1,36.7,27125,1,0.070550487
Alabama,Butler,0,23.3,42869,1,0.042470182
Alabama,Butler,0,19.7,50278,0,0
Alabama,Butler,0,33.6,35991,0,0.033410975
Alabama,Butler,0,27.4,41250,0,0.051146385
Alabama,Calhoun,1,33.9,29704,0,0.00155523
Alabama,Calhoun,1,45,24239,0,0
Alabama,Calhoun,1,35.5,31789,1,0.113870547
Alabama,Calhoun,1,51.3,19883,0,0.013567285
Alabama,Calhoun,1,59.5,16250,0,0.034069245
Alabama,Calhoun,1,37.4,31725,0,0.018301205
Alabama,Calhoun,1,25.7,36528,0,0.036253168
Alabama,Calhoun,1,13.9,68421,1,0.038871819
Alabama,Calhoun,1,9.2,60561,1,0.008139502
Alabama,Calhoun,1,17,53864,1,0.019798321
Alabama,Calhoun,1,21.6,44397,1,0.016970954
Alabama,Calhoun,1,15,65606,1,0.017436309
Alabama,Calhoun,1,23.7,42679,1,0.01916016
Alabama,Calhoun,0,15.8,50137,0,0.03003419
Alabama,Calhoun,1,16.3,48110,1,0.040659252
Alabama,Calhoun,1,31.7,37596,1,0.002267689
Alabama,Calhoun,1,6.8,68902,1,0.013811506
Alabama,Calhoun,1,24.8,50938,1,0.039031552
Alabama,Calhoun,0,17,57065,0,0.041628571
Alabama,Calhoun,1,59.5,26406,1,0.032102065
Alabama,Calhoun,1,12.6,60385,1,0.000724724
Alabama,Calhoun,1,32.8,43534,1,0.015088012
Alabama,Calhoun,1,16.9,46771,1,0.011146633
Alabama,Calhoun,0,31.5,37425,0,0.031384438
Alabama,Calhoun,0,13.4,67195,0,0.039211234
Alabama,Calhoun,0,15.4,59155,0,0.026618868
Alabama,Calhoun,0,11.9,53106,0,0.050293194
Alabama,Calhoun,0,12.7,58050,0,0.028045436
Alabama,Calhoun,0,0,0,0,0
